Code,Nx,Ny
1100000000,60,127
1111000000,60,127
1111051500,60,127
1111053000,60,127
1111054000,60,127
1111055000,60,127
1111056000,60,127
1111057000,60,127
1111058000,60,127
1111060000,60,127
1111061500,60,127
1111063000,60,127
1111064000,60,127
1111065000,60,127
1111067000,61,127
1111068000,60,127
1111069000,60,127
1111070000,60,127
1111071000,61,127
1114000000,60,127
1114052000,60,127
1114054000,60,126
1114055000,60,127
1114057000,60,127
1114058000,60,127
1114059000,60,127
1114060500,60,127
1114061500,60,127
1114062500,60,126
1114063500,60,126
1114064500,60,126
1114065000,61,127
1114066500,61,127
1114067000,61,127
1114068000,60,126
1117000000,60,126
1117051000,60,126
1117052000,60,126
1117053000,60,126
1117055500,60,126
1117056000,60,126
1117057000,59,126
1117058000,60,126
1117059000,60,126
1117062500,60,126
1117063000,60,126
1117064000,59,126
1117065000,60,126
1117066000,60,126
1117068500,60,126
1117069000,60,126
1117070000,60,126
1120000000,61,127
1120052000,61,127
1120053500,61,127
1120054000,61,127
1120055000,61,127
1120056000,61,126
1120057000,61,126
1120058000,61,126
1120059000,61,126
1120061500,61,126
1120062000,61,126
1120064500,60,126
1120065000,61,126
1120066000,61,126
1120067000,61,126
1120069000,61,126
1120072000,61,126
1120079000,61,127
1121500000,62,126
1121571000,61,126
1121573000,62,126
1121574000,62,127
1121575000,62,127
1121576000,62,127
1121577000,62,127
1121578000,62,126
1121581000,62,126
1121582000,62,126
1121583000,62,126
1121584000,61,126
1121584700,61,126
1121585000,62,126
1121586000,62,126
1121587000,62,126
1123000000,61,127
1123053600,61,127
1123054500,61,127
1123056000,61,127
1123057000,61,127
1123060000,61,127
1123061000,61,127
1123065000,61,127
1123066000,61,127
1123070500,61,127
1123071000,61,127
1123072000,61,127
1123073000,61,127
1123074000,61,127
1123075000,61,127
1126000000,62,128
1126052000,62,127
1126054000,62,127
1126055000,62,127
1126056500,62,127
1126057000,62,127
1126057500,62,127
1126058000,62,127
1126059000,62,127
1126060000,62,127
1126061000,62,127
1126062000,62,128
1126063000,62,128
1126065500,62,127
1126066000,62,127
1126068000,62,128
1126069000,62,128
1129000000,61,127
1129052500,60,127
1129055500,60,127
1129057500,61,127
1129058000,61,127
1129059000,60,127
1129060000,61,127
1129061000,61,127
1129062000,60,127
1129063000,60,127
1129064000,60,128
1129065000,60,128
1129066000,61,127
1129068500,61,128
1129070500,61,127
1129071500,61,128
1129072500,61,127
1129076000,61,128
1129077000,61,128
1129078000,61,128
1129081000,61,128
1130500000,61,128
1130553400,61,128
1130553500,61,128
1130554500,61,128
1130555500,61,128
1130557500,61,128
1130559500,61,128
1130560300,61,128
1130560800,61,128
1130561500,60,128
1130562500,61,128
1130563500,61,128
1130564500,60,128
1130566000,60,128
1132000000,61,129
1132051100,61,128
1132051200,61,128
